,id,name
222,223,Cook Islands
223,224,Tuvalu
224,225,"Saint Helena, Ascension, and Tristan da Cunha"
225,226,Saint Barthelemy
226,227,Saint Pierre and Miquelon
227,228,Montserrat
228,FLK,Falkland Islands (Islas Malvinas)
229,230,Norfolk Island
230,231,Svalbard
231,232,Christmas Island
232,233,Tokelau
233,234,Niue
234,235,Holy See (Vatican City)
235,236,Cocos (Keeling) Islands
236,237,Pitcairn Islands
237,ATA,Antarctica
238,ATF,French Southern and Antarctic Lands
239,SDS,South Sudan
240,ABV,Somaliland
241,OSA,Kosovo
